OBJID,RA,DEC,IMG_URL,REDSHIFT,P_ELLIPTICAL,P_SPIRAL,UMAG,GMAG,RMAG,IMAG,ZMAG,LOG_MASS,R90_ARCSEC,AXIAL_RATIO,LOCAL_DENSITY,NEARCLUSTER_DIST,NEARCLUSTER_MASS,G-R
587730772806926574,341.0812699,12.51804232,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=341.081269926&dec=12.5180423221,0.0810419,0.02902567,0.97097439,-18.71559143,-20.20824242,-20.97273827,-21.346735,-21.66755676,10.53675556,6.30832148,0.26704937,-1.86E-01,36.1002655,1.96E+14,7.64E-01
587741490376540496,180.5186423,30.08407681,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=180.518642252&dec=30.0840768094,0.0713507,0.11560445,0.83089197,-18.96874428,-20.04523277,-20.53000259,-20.7171917,-20.99892807,10.05489254,5.38334656,0.87170684,1.31E-01,-999,-9.99E+02,4.85E-01
587731885731938604,117.2846075,29.58535106,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=117.284607506&dec=29.5853510605,0.0614094,0.0748708,0.90659046,-20.20592117,-21.29026985,-21.70207024,-21.84237671,-22.02715683,10.42913342,10.52707005,0.83554304,7.60E-01,0.60483909,3.51E+13,4.12E-01
587741421638975673,132.7162311,21.55782262,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=132.716231089&dec=21.5578226162,0.083275,0.09281517,0.82664317,-19.36730194,-20.22471619,-20.60806656,-20.73108864,-20.85201836,9.9846468,8.55792046,0.76173133,-6.24E-01,-999,-9.99E+02,3.83E-01
587730773877653861,334.0203542,12.65057301,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=334.020354208&dec=12.6505730104,0.0807823,0.01459052,0.98540944,-19.00117302,-20.26156044,-20.96926308,-21.33710098,-21.66894913,10.49733257,7.19748735,0.26890349,-1.64E-01,3.12345076,3.58E+13,7.08E-01
588017605219188744,178.316152,45.02397715,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=178.316151987&dec=45.0239771508,0.0431219,0.01682438,0.98317564,-18.85933304,-20.08800888,-20.81503487,-21.12928009,-21.45676041,10.41912746,16.09322166,0.17048357,-7.94E-01,34.36328125,3.06E+13,7.27E-01
587736915678593083,219.784879,12.22767995,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=219.784878957&dec=12.2276799451,0.0482719,0.01554701,0.95392179,-19.40933037,-20.64603043,-21.27739143,-21.58776474,-21.79778671,10.58605289,11.3613224,0.34464571,5.62E-01,23.90350533,3.89E+13,6.31E-01
587733608015790362,244.4754371,40.2961222,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=244.475437075&dec=40.296122203,0.077779,0.1317544,0.8682456,-18.46493912,-19.78395081,-20.30740547,-20.61305428,-21.03892136,10.06046867,4.82551336,0.66632867,-4.62E-01,31.57662964,1.86E+15,5.23E-01
587739407326117985,204.4684436,33.49623835,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=204.468443606&dec=33.4962383524,0.0808744,0.07606158,0.84480768,-18.85804558,-20.21220398,-20.86639404,-21.17329979,-21.4295578,10.41956234,5.24129057,0.48154965,-7.26E-01,19.22569466,9.79E+13,6.54E-01
587731186742394983,3.72947979,0.25226446,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=3.72947978755&dec=0.252264460127,0.0390241,0.02857143,0.97142857,-19.97669029,-21.03985214,-21.48776817,-21.69084167,-21.87346077,10.33055019,10.80327511,0.84103376,-3.50E-01,27.41017532,6.06E+14,4.48E-01
