OBJID,RA,DEC,IMG_URL,REDSHIFT,P_ELLIPTICAL,P_SPIRAL,UMAG,GMAG,IMAG,ZMAG,LOG_MASS,R90_ARCSEC,AXIAL_RATIO,LOCAL_DENSITY,NEARCLUSTER_DIST,NEARCLUSTER_MASS,G-R
587729231445164304,254.0357061,39.43283776,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=254.035706137&dec=39.4328377623,0.0594801,1,0,-19.12065887,-20.73107529,-21.82581711,-22.11276245,10.72784138,7.17327976,0.6949926,5.10E-01,0.82268685,1.41E+14,7.50E-01
587732483828285515,201.7774263,49.04928446,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=201.777426279&dec=49.0492844568,0.0614963,0.91900015,0.08099981,-19.48221397,-21.00261879,-22.06390762,-22.29245758,10.80257893,9.63274097,0.97205317,-9.14E-01,21.95828629,5.37E+13,7.24E-01
587732579375775928,142.1896303,6.37636899,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=142.189630293&dec=6.37636899178,0.0763366,0.85903585,0.09019196,-19.96697235,-21.37446785,-22.55225945,-22.78726196,11.0246172,12.44028378,0.73290342,-3.33E-01,16.66460037,3.04E+14,7.98E-01
587732484366336050,205.9854251,48.86912496,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=205.985425077&dec=48.869124958,0.0625927,0.96428567,0,-19.5715313,-21.42614746,-22.57586861,-22.79045677,11.02030945,12.8017931,0.79693401,4.06E-02,12.50311089,2.63E+14,7.61E-01
588017721724960823,203.9775052,41.4894823,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=203.977505239&dec=41.4894822977,0.0770602,0.86959815,0.13040189,-20.04980659,-21.7104454,-22.87014389,-23.09414673,11.17017746,13.49044132,0.75209928,1.78E-01,20.53281021,9.96E+13,7.94E-01
587733397561999407,217.4416578,49.558332,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=217.441657811&dec=49.5583320006,0.0716712,0.85855055,0.10042965,-20.14393234,-21.90733528,-23.05039787,-23.26849365,11.20903015,10.31392288,0.6776377,2.17E-01,5.32780123,6.10E+14,7.50E-01
587733604266410093,244.4489202,41.25827726,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=244.448920177&dec=41.2582772633,0.0376111,0.8214286,0.1071429,-17.85208511,-19.48107529,-20.52073479,-20.7643795,10.20508671,5.13095665,0.59823507,-1.31E-01,58.12719345,9.56E+12,7.08E-01
587732482746548350,173.9149471,48.92437066,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=173.914947098&dec=48.9243706572,0.0354675,0.85714293,0.1071429,-17.93906975,-19.68482208,-20.7577858,-21.01396561,10.29869461,6.40111828,0.82913184,7.46E-01,65.11382294,3.42E+14,7.28E-01
587731512084332707,54.04561452,-0.58205734,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=54.0456145152&dec=-0.582057339585,0.0493769,0.93942142,0.0409691,-19.55355644,-21.13189316,-22.12067413,-22.37233162,10.84061337,7.02860165,0.75089478,-7.27E-01,65.4475708,5.55E+13,6.92E-01
588011217522458757,194.3381498,61.46902804,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=194.338149795&dec=61.4690280352,0.0608955,0.92929238,0.0707076,-19.5767746,-21.19465256,-22.36752701,-22.67560959,10.92934608,10.82566738,0.91955703,-8.46E-01,27.96157837,1.16E+14,7.84E-01
587739646207721614,166.2474342,30.10721129,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=166.247434224&dec=30.1072112941,0.0315927,1,0,-17.98233032,-19.45761108,-20.53466606,-20.69678497,10.17729092,10.45923805,0.95293099,8.26E-01,47.81422424,4.64E+12,7.22E-01
587727178982359164,350.7348317,-10.04562849,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=350.734831663&dec=-10.0456284932,0.083974,0.8878777,0.04710168,-19.94940758,-21.99578667,-23.17247009,-23.39032173,11.28386497,15.04714203,0.74744546,1.06E+00,0.08468745,1.71E+14,7.58E-01
